Map,Agent Picked,Total Wins By Map,Total Maps Played
Split,jett,1,1
Split,skye,1,1
Split,viper,1,1
Split,astra,1,1
Split,raze,0,1
Split,omen,0,1
Split,skye,0,1
Split,viper,0,1
Split,reyna,0,1
Lotus,raze,1,1
Lotus,omen,1,1
Lotus,skye,1,1
Lotus,neon,1,1
Lotus,chamber,1,1
Lotus,omen,0,1
Lotus,jett,0,1
Lotus,sova,0,1
Lotus,breach,0,1
Lotus,killjoy,0,1
Fracture,jett,0,2
Fracture,killjoy,0,2
Fracture,breach,0,2
Fracture,raze,0,2
Fracture,brimstone,0,2
Fracture,breach,2,2
Fracture,raze,2,2
Fracture,brimstone,2,2
Fracture,neon,2,2
Fracture,chamber,2,2
Fracture,killjoy,1,1
Fracture,breach,1,1
Fracture,kayo,1,1
Fracture,brimstone,1,1
Fracture,neon,1,1
Fracture,killjoy,0,1
Fracture,breach,0,1
Fracture,raze,0,1
Fracture,brimstone,0,1
Fracture,fade,0,1
Ascent,jett,3,3
Ascent,omen,3,3
Ascent,killjoy,3,3
Ascent,sova,3,3
Ascent,kayo,3,3
Ascent,jett,1,3
Ascent,omen,1,3
Ascent,killjoy,1,3
Ascent,sova,1,3
Ascent,kayo,1,3
Ascent,omen,1,2
Ascent,sova,1,2
Ascent,raze,1,2
Ascent,kayo,1,2
Ascent,cypher,1,2
Ascent,jett,1,3
Ascent,omen,1,3
Ascent,killjoy,1,3
Ascent,sova,1,3
Ascent,kayo,1,3
Ascent,jett,1,1
Ascent,omen,1,1
Ascent,killjoy,1,1
Ascent,sova,1,1
Ascent,kayo,1,1
Ascent,jett,0,1
Ascent,omen,0,1
Ascent,killjoy,0,1
Ascent,sova,0,1
Ascent,kayo,0,1
Ascent,jett,0,1
Ascent,omen,0,1
Ascent,killjoy,0,1
Ascent,fade,0,1
Ascent,phoenix,0,1
Split,omen,0,1
Split,raze,0,1
Split,skye,0,1
Split,viper,0,1
Split,reyna,0,1
Split,jett,1,1
Split,omen,1,1
Split,skye,1,1
Split,cypher,1,1
Split,sage,1,1
Split,jett,2,2
Split,raze,2,2
Split,skye,2,2
Split,viper,2,2
Split,astra,2,2
Split,jett,1,2
Split,omen,1,2
Split,raze,1,2
Split,skye,1,2
Split,viper,1,2
Split,omen,0,1
Split,breach,0,1
Split,raze,0,1
Split,skye,0,1
Split,cypher,0,1
Split,jett,0,1
Split,raze,0,1
Split,skye,0,1
Split,viper,0,1
Split,astra,0,1
Pearl,jett,1,1
Pearl,killjoy,1,1
Pearl,skye,1,1
Pearl,astra,1,1
Pearl,phoenix,1,1
Pearl,jett,0,2
Pearl,killjoy,0,2
Pearl,kayo,0,2
Pearl,astra,0,2
Pearl,gekko,0,2
Pearl,jett,1,1
Pearl,killjoy,1,1
Pearl,skye,1,1
Pearl,viper,1,1
Pearl,harbor,1,1
Haven,omen,1,2
Haven,killjoy,1,2
Haven,sova,1,2
Haven,breach,1,2
Haven,raze,1,2
Haven,jett,3,4
Haven,omen,3,4
Haven,killjoy,3,4
Haven,sova,3,4
Haven,breach,3,4
Haven,omen,0,1
Haven,killjoy,0,1
Haven,sova,0,1
Haven,breach,0,1
