Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,3,TSM,18.8k,12.1k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,4,Envy,22.7k,1.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,4,TSM,19.6k,23.6k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,5,Envy,24.3k,9.6k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,5,TSM,24.5k,10.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,6,Envy,19.8k,4.4k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,6,TSM,25.3k,12.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,7,Envy,14.9k,7.8k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,7,TSM,25.1k,23.7k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,8,Envy,22.9k,1.2k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,8,TSM,25.9k,27.3k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,9,Envy,11.9k,7.4k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,9,TSM,22.5k,19.7k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,10,Envy,21.5k,1.6k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,10,TSM,25.1k,24.9k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,11,Envy,24.5k,6.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,11,TSM,24.5k,10.8k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,12,Envy,18.4k,0.3k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,12,TSM,24.8k,9.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,13,Envy,4.1k,0.2k,Eco: 0-5k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,13,TSM,3.3k,0.2k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,14,Envy,16.6k,3.6k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,14,TSM,2.9k,7.9k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,15,Envy,19.3k,9.6k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,15,TSM,20.2k,0.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,16,Envy,21.2k,2.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,16,TSM,21.1k,4.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,17,Envy,18.1k,3.0k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,17,TSM,6.5k,9.5k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,18,Envy,23.8k,11.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,18,TSM,21.2k,1.5k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Breeze,19,Envy,24.9k,13.1k,Full buy: 20k+,Win
