Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,1,Paper Rex,3.7k,0.1k,Eco: 0-5k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,1,EDward Gaming,4.0k,0.2k,Eco: 0-5k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,2,Paper Rex,1.2k,9.6k,Eco: 0-5k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,2,EDward Gaming,15.6k,2.4k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,3,Paper Rex,21.3k,0.7k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,3,EDward Gaming,15.1k,9.5k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,4,Paper Rex,8.6k,8.4k,Semi-eco: 5-10k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,4,EDward Gaming,25.7k,16.1k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,5,Paper Rex,22.2k,2.2k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,5,EDward Gaming,26.1k,17.0k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,6,Paper Rex,20.5k,2.9k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,6,EDward Gaming,23.1k,12.1k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,7,Paper Rex,18.5k,7.9k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,7,EDward Gaming,11.5k,11.7k,Semi-buy: 10-20k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,8,Paper Rex,22.8k,12.9k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,8,EDward Gaming,23.5k,2.2k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,9,Paper Rex,22.9k,14.1k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,9,EDward Gaming,9.2k,9.4k,Semi-eco: 5-10k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,10,Paper Rex,23.0k,16.7k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,10,EDward Gaming,23.4k,3.0k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,11,Paper Rex,22.3k,21.4k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,11,EDward Gaming,8.6k,9.7k,Semi-eco: 5-10k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,12,Paper Rex,24.2k,10.4k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,12,EDward Gaming,24.3k,6.4k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,13,Paper Rex,3.6k,0.1k,Eco: 0-5k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,13,EDward Gaming,3.6k,0.2k,Eco: 0-5k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,14,Paper Rex,14.1k,4.0k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,14,EDward Gaming,2.2k,8.4k,Eco: 0-5k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,15,Paper Rex,20.0k,5.9k,Semi-buy: 10-20k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,15,EDward Gaming,21.4k,0.4k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,16,Paper Rex,15.8k,0.4k,Semi-buy: 10-20k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,16,EDward Gaming,21.6k,7.4k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,17,Paper Rex,8.4k,6.6k,Semi-eco: 5-10k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,17,EDward Gaming,22.4k,12.5k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,18,Paper Rex,25.3k,6.7k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,18,EDward Gaming,11.9k,11.8k,Semi-buy: 10-20k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,19,Paper Rex,27.0k,10.3k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,19,EDward Gaming,22.5k,4.2k,Full buy: 20k+,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,20,Paper Rex,18.7k,2.9k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,20,EDward Gaming,22.3k,6.5k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,21,Paper Rex,22.6k,6.9k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,21,EDward Gaming,10.3k,9.0k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,22,Paper Rex,17.8k,1.2k,Semi-buy: 10-20k,Win
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,22,EDward Gaming,23.1k,8.2k,Full buy: 20k+,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,23,Paper Rex,19.3k,2.2k,Semi-buy: 10-20k,Loss
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,23,EDward Gaming,17.5k,1.9k,Semi-buy: 10-20k,Win
