Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,15,Vision Strikers,21.4k,1.4k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,15,FULL SENSE,19.3k,7.9k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,16,Vision Strikers,22.5k,9.2k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,16,FULL SENSE,16.6k,2.0k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,17,Vision Strikers,22.6k,10.7k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,17,FULL SENSE,16.4k,0.5k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,18,Vision Strikers,24.5k,13.8k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,18,FULL SENSE,14.0k,2.0k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,1,Team Vikings,4.0k,0.3k,Eco: 0-5k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,1,Crazy Raccoon,3.8k,0.1k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,2,Team Vikings,16.2k,3.8k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,2,Crazy Raccoon,2.9k,7.3k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,3,Team Vikings,13.7k,14.4k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,3,Crazy Raccoon,21.3k,0.5k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,4,Team Vikings,23.2k,9.2k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,4,Crazy Raccoon,10.3k,7.1k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,5,Team Vikings,24.0k,15.9k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,5,Crazy Raccoon,23.3k,0.8k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,6,Team Vikings,23.2k,22.1k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,6,Crazy Raccoon,7.8k,8.9k,Semi-eco: 5-10k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,7,Team Vikings,23.2k,11.7k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,7,Crazy Raccoon,25.0k,4.5k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,8,Team Vikings,23.1k,4.0k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,8,Crazy Raccoon,24.5k,5.2k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,9,Team Vikings,18.8k,3.5k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,9,Crazy Raccoon,22.3k,3.4k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,10,Team Vikings,22.5k,7.5k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,10,Crazy Raccoon,4.5k,10.0k,Eco: 0-5k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,11,Team Vikings,11.8k,8.1k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,11,Crazy Raccoon,25.7k,7.9k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,12,Team Vikings,22.7k,1.0k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,12,Crazy Raccoon,26.4k,4.9k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,13,Team Vikings,3.8k,0.3k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,13,Crazy Raccoon,3.8k,0.3k,Eco: 0-5k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,14,Team Vikings,1.7k,9.0k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,14,Crazy Raccoon,19.0k,1.0k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,15,Team Vikings,21.4k,0.2k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,15,Crazy Raccoon,17.9k,9.5k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,16,Team Vikings,20.4k,3.5k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,16,Crazy Raccoon,9.4k,11.1k,Semi-eco: 5-10k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,17,Team Vikings,22.4k,15.2k,Full buy: 20k+,Win
